user,click_1,click_2,click_3,click_4,click_5,conversion,value
1,d,d,a,b,,0,0
2,c,,,,,0,0
3,b,d,a,b,c,1,44
4,b,a,a,,,0,0
5,d,b,d,,,0,0
6,c,b,a,c,,0,0
7,c,,,,,0,0
8,c,b,c,,,0,0
9,b,,,,,0,0
10,d,a,,,,0,0
11,a,,,,,0,0
12,d,a,,,,0,0
13,a,a,a,b,c,1,44
14,d,c,a,d,c,0,0
15,b,c,b,c,,1,43
16,c,d,d,,,0,0
17,b,d,,,,1,37
18,a,b,b,c,c,0,0
19,b,d,a,,,1,47
20,c,b,d,d,,0,0
21,a,c,,,,0,0
22,c,c,b,,,0,0
23,d,b,a,c,,1,36
24,d,c,,,,1,49
25,a,,,,,0,0
26,c,,,,,0,0
27,a,c,c,a,,0,0
28,b,,,,,0,0
29,c,d,c,c,,0,0
30,d,d,d,b,,1,45
31,c,d,c,d,,0,0
32,d,a,,,,0,0
33,c,b,d,,,0,0
34,c,b,,,,0,0
35,c,,,,,0,0
36,c,a,,,,0,0
37,b,d,,,,0,0
38,a,c,c,c,b,0,0
39,c,b,d,a,d,0,0
40,b,a,a,a,,0,0
41,c,c,b,b,c,1,42
42,a,d,b,,,0,0
43,d,c,d,b,c,0,0
44,c,c,a,c,,0,0
45,a,d,b,,,0,0
46,c,a,b,,,0,0
47,a,,,,,0,0
48,a,b,d,,,0,0
49,d,d,c,,,0,0
50,a,d,a,,,1,37
51,d,b,d,d,,0,0
52,b,c,,,,1,49
53,d,,,,,0,0
54,b,c,a,a,,0,0
55,d,b,d,c,,1,50
56,b,,,,,0,0
57,b,c,d,,,1,42
58,a,c,,,,0,0
59,a,a,d,d,b,0,0
60,a,b,b,c,d,1,34
61,a,a,,,,0,0
62,c,b,a,d,,1,39
63,a,c,b,c,,1,30
64,d,b,d,b,a,0,0
65,c,d,,,,0,0
66,d,a,c,d,a,1,46
67,a,d,c,c,d,0,0
68,c,c,d,b,,0,0
69,a,c,b,a,d,0,0
70,b,a,d,,,0,0
71,d,c,a,,,1,50
72,a,,,,,0,0
73,c,b,a,a,,0,0
74,d,a,c,b,,1,34
75,c,,,,,0,0
76,a,b,,,,0,0
77,a,a,b,,,0,0
78,b,b,c,d,,0,0
79,d,b,b,d,,0,0
80,b,d,b,,,0,0
81,c,c,b,,,0,0
82,a,c,a,,,0,0
83,c,d,d,b,c,0,0
84,d,a,d,b,c,0,0
85,b,c,a,d,,1,33
86,c,a,c,b,,0,0
87,c,a,,,,0,0
88,b,b,d,,,0,0
89,b,a,c,a,a,1,39
90,a,a,c,b,a,0,0
91,b,a,d,,,0,0
92,d,b,d,,,0,0
93,c,a,b,,,0,0
94,c,d,,,,0,0
95,b,b,a,a,,1,34
96,d,c,a,,,0,0
97,b,a,b,b,,0,0
98,b,d,b,,,1,45
99,a,a,a,b,,0,0
100,c,,,,,0,0
101,d,d,d,a,,0,0
102,b,,,,,0,0
103,b,b,c,a,d,1,31
104,c,d,a,,,1,49
105,a,a,c,,,0,0
106,a,d,,,,0,0
107,a,a,,,,0,0
108,d,,,,,1,36
109,d,,,,,0,0
110,c,b,d,a,c,0,0
111,b,a,,,,0,0
112,d,,,,,0,0
113,b,,,,,0,0
114,b,a,,,,1,36
115,d,a,d,b,c,1,48
116,d,,,,,0,0
